지역,지점수,비율
경기도,감탄-철산점,경기 광명시 철산동 509-267 서빈빌딩 107호
전라북도,감탄-부송점,전북 익산시 부송동 1038-1번지 삼성아파트상가111호
서울특별시,감탄-성산점,서울 마포구 성산동 200-365
충청남도,감탄-동대점,충남 보령시 동대동 1904
충청북도,감탄-개신점,충북 청주시 서원구 개신동 632번지 에엔빌딩101호
경기도,감탄-매탄2호점,경기 수원시 영통구 매탄4동 810-1 매탄 현대상가
인천광역시,감탄-구월점,인천 남동구 구월동 1200-2 퍼스트플라자101호
경기도,감탄-덕정점,경기 양주시 덕정동 208-8 황금프라자 115호
서울특별시,감탄-월계점,서울 노원구 월계동 947번지 롯데캐슬아파트상가
경기도,감탄-호평점,경기 남양주시 호평동 666-1번지
서울특별시,감탄-월계2호점,서울 노원구 월계3동 18번지 그랑빌아파트 제주상가118호
경기도,감탄-신봉점,경기 용인시 수지구 신봉동 31 홍천말프라자108호
경기도,감탄-청학점,경기 남양주시 별내면 청학리 414 주공프라자 104호
경기도,감탄-민락점,경기 의정부시 민락동 705-4 1층101호
경기도,감탄-이충점,경기 평택시 이충동 668-1 103호
인천광역시,감탄-가좌점,인천 서구 장고개로 337번길 16 401동 110호
경상남도,감탄-거제점,경남 거제시 신현읍 장평리 32번지 대한2차 상가 107호
경기도,감탄-사동점,경기 안산시 상록구 사동 1343번지 상록수 현대2차APT제주상가111호
전라북도,감탄-모현점,전북 익산시 모현동 1가 271-5 현대상가 104호
서울특별시,감탄-신내점,서울 중랑구 신내동 785 건영상가 1층
서울특별시,감탄-보라매공원점,서울 동작구 신대방동 498-51
전라북도,감탄-송천점,전북 전주시 덕진구 송천동 2가 216-1번지
경기도,감탄-신갈점,경기 용인시 기흥구 신갈동 711번지 그린빌딩 103호
경기도,감탄-인창2호점,경기 구리시 인창동 703번지 동원 베네스트상가 107호
경기도,감탄-죽전2호점,경기 용인시 수지구 죽전동 1178-2 신원빌딩 103호
전라북도,감탄-산북점,전북 군산시 산북동 3540-2  103호
경기도,감탄-평내점,경기 남양주시 평내동 578-2  1층 101호
경기도,감탄-삼숭점,경기 양주시 삼숭동 685-1 양주프라자1제 1층 2101-2호
경기도,감탄-초지점,경기 안산시 단원구 초지동 729-1 신명프라자1115호
경기도,감탄-오목천점,경기 수원시 권선구 오목천동 500-1
충청남도,감탄-쌍용점,충남 천안시 쌍용동 832번지
경기도,감탄-토평점,경기 구리시 수택동 874번지 새롬8차 106호
인천광역시,감탄-만수점,인천 남동구 만수동 1040-4 로얄프라자111호
충청남도,감탄-불당점,충남 천안시 불당동 757 불당아이파크 상가동 101호(가칭101-2)
경기도,감탄-수지동천점,경기 용인시 수지구 동천동 884-5
인천광역시,감탄-용현점,인천 남구 용현5동 617-61
서울특별시,감탄-송파도서관점,서울 송파구 오금동 151-4번지
서울특별시,감탄-답십리점,서울 동대문구 답십리2동 93-9
경기도,감탄-부천상동점,경기 부천시 원미구 상동 534-1 승재프라자 111호
서울특별시,감탄-일원점,서울 강남구 일원동 644-1
서울특별시,감탄-명일점,서울 강동구 명일동 325-11 103호
서울특별시,감탄-송파점,서울 송파구 송파동 122-2번지
전라북도,감탄-삼천점,전북 전주시 완산구 삼천동1가 767-2주공 4단지상가103호
경기도,감탄-안흥점,경기 이천시 갈산동 703-8
서울특별시,감탄-미아점,서울 강북구 미아동 1343 솔샘빌딩 103호
경기도,감탄-동백점,경기 용인시 기흥구 동백동 599 백현마을 모아 미래도 상가 102-1
서울특별시,감탄-목동점,서울 양천구 목3동 609-20번지
서울특별시,감탄-장안홈타운점,서울 동대문구 장안동 336번지 현대홈타운 상가 104호
경기도,감탄-호매실점,경기 수원시 권선구 호매실동 402-1번지
경기도,감탄-송내점,경기 부천시 원미구 상동 411-1번지 현대프라자 107.108호
서울특별시,감탄-마천점,서울 송파구 마천동 32-2 1층 106
서울특별시,감탄-월곡점,서울 성북구 하월곡동 76-25 104호
전라북도,감탄-중화산점,전북 전주시 완산구 중화산동2가 401-7번지(참사랑마트 옆)
서울특별시,감탄-노원점,서울 노원구 상계2동 581-2 센트럴타워 110호
경기도,감탄-퇴계원점,경기 남양주시 퇴계원면 퇴계원리 264-15
전라북도,감탄-동산점,"전북 익산시 동천로 7길 53-1, 111동 1층 113호(동산동,비사벌아파트상가)"
